Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat di Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan pada Penerbangan Domestik,,,,,,,,,,,,,Keberangkatan pada Penerbangan Internasional,,,,,,,,,,,,
,2018,,,,,,,,,,,,,2018,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,372984,290832,312516,324330,275394,336870,361523,317360,292582,307051,272602,257567,-,96121,85572,94560,89633,78120,106025,92083,84111,79141,78238,84112,101781,-
Soekarno Hatta-Jakarta,1751059,1698478,1931117,1949487,1768565,1998533,2132360,1932013,1852076,1916452,1796523,1883165,-,614156,585772,701434,661213,584468,643547,644069,677179,625313,651209,654378,749542,-
Juanda-Surabaya,689756,597290,660707,671763,592835,706372,856010,720669,706926,688559,634151,642080,-,95096,76779,94044,84798,72560,85175,101424,86919,88481,78428,93862,112532,-
Hasanudin-Makassar,369341,309966,344360,358725,329273,378082,431134,361641,364450,376212,338239,359634,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,449389,401856,427958,467257,433394,479185,546118,509763,464489,481774,440613,475739,-,399263,459067,488917,535876,558321,558866,618276,631774,580105,600169,479765,493943,-
Bandara Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-